batch	object	n_frames	mesh	gt_dir	gt_render_dir
A	ancient_lady_effect_2	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/ancient_lady_effect_2/mesh/ancient_lady_effect_2_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/ancient_lady_effect_2/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_ancient_lady_effect_2/frames
B	animal_blob_crack	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/animal_blob_crack/mesh/animal_blob_crack_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/animal_blob_crack/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_animal_blob_crack/frames
B	animal_blob_orange_crack	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/animal_blob_orange_crack/mesh/animal_blob_orange_crack_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/animal_blob_orange_crack/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_animal_blob_orange_crack/frames
B	chair_ice	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/chair_ice/mesh/chair_ice_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/chair_ice/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_chair_ice/frames
B	chair_moss	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/chair_moss/mesh/chair_moss_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/chair_moss/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_chair_moss/frames
B	chair_real_wooden_crack	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/chair_real_wooden_crack/mesh/chair_real_wooden_crack_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/chair_real_wooden_crack/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_chair_real_wooden_crack/frames
C	dragon_mush	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/dragon_mush/mesh/dragon_mush_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/dragon_mush/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_dragon_mush/frames
C	dragon_mush2	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/dragon_mush2/mesh/dragon_mush2_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/dragon_mush2/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_dragon_mush2/frames
C	fish_glitter	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/fish_glitter/mesh/fish_glitter_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/fish_glitter/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_fish_glitter/frames
C	fish_ink	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/fish_ink/mesh/fish_ink_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/fish_ink/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_fish_ink/frames
A	hand_rorschach	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/hand_rorschach/mesh/hand_rorschach_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/hand_rorschach/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_hand_rorschach/frames
B	napolean_teapot_crack	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/napolean_teapot_crack/mesh/napolean_teapot_crack_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/napolean_teapot_crack/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_napolean_teapot_crack/frames
B	napolean_waves	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/napolean_waves/mesh/napolean_waves_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/napolean_waves/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_napolean_waves/frames
C	octocat_clay	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/octocat_clay/mesh/octocat_clay_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/octocat_clay/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_octocat_clay/frames
C	octocat_shine	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/octocat_shine/mesh/octocat_shine_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/octocat_shine/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_octocat_shine/frames
B	octopus_rainbow	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/octopus_rainbow/mesh/octopus_rainbow_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/octopus_rainbow/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_octopus_rainbow/frames
B	octopus_rust	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/octopus_rust/mesh/octopus_rust_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/octopus_rust/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_octopus_rust/frames
B	octopus_sparkle	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/octopus_sparkle/mesh/octopus_sparkle_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/octopus_sparkle/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_octopus_sparkle/frames
B	octopus_tar	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/octopus_tar/mesh/octopus_tar_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/octopus_tar/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_octopus_tar/frames
A	pumpkin_rot	121	/net/projects/ranalab/rajhansini/TRELLIS.2/data/pumpkin_rot/mesh/pumpkin_rot_render_frame_guan.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/pumpkin_rot/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_pumpkin_rot_guan/frames
C	sheep_mud	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/sheep_mud/mesh/sheep_mud_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/sheep_mud/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_sheep_mud/frames
C	sheep_soil	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/sheep_soil/mesh/sheep_soil_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/sheep_soil/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_sheep_soil/frames
A	spot_lava	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/spot_lava/mesh/spot_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/spot_lava/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_spot_lava/frames
C	tie_fighter_bw	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/tie_fighter_bw/mesh/tie_fighter_bw_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/tie_fighter_bw/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_tie_fighter_bw/frames
D	moai_silver	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/moai_silver/mesh/moai_silver_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/moai_silver/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_moai_silver/frames
D	moai_animated	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/moai_animated/mesh/moai_animated_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/moai_animated/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_moai_animated/frames
D	gargoyle_spiral	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/gargoyle_spiral/mesh/gargoyle_spiral_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/gargoyle_spiral/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_gargoyle_spiral/frames
D	gargoyle_effect_one	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/gargoyle_effect_one/mesh/gargoyle_effect_one_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/gargoyle_effect_one/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_gargoyle_effect_one/frames
D	airplane_blub	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/airplane_blub/mesh/airplane_blub_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/airplane_blub/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_airplane_blub/frames
D	airplane_red_cracks	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/airplane_red_cracks/mesh/airplane_red_cracks_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/airplane_red_cracks/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_airplane_red_cracks/frames
D	teddy_bleach	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/teddy_bleach/mesh/teddy_bleach_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/teddy_bleach/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_teddy_bleach/frames
D	teddy_fusion	150	/net/projects/ranalab/rajhansini/TRELLIS.2/data/teddy_fusion/mesh/teddy_fusion_render_frame.obj	/net/projects/ranalab/rajhansini/TRELLIS.2/data/teddy_fusion/frames_from_video	/net/projects/ranalab/rajhansini/TRELLIS.2/experiments/dynamesh/out/gt_targets_teddy_fusion/frames
